,이름,아이디,리뷰,날짜,별점
0,쁠로13,랭굴,"- 생활의달인에 나온 빵집
- 무게로 측정되는 가격
- 크로와상이 종류별로 잇어요
- 미니버전도 있고 맛있습니다",5월 13일,4
1,쁠로13,beeniii,"배가 부른 상태였음에도 크로와상은 너무 맛있어서 먹게 되었다. 크로와상 맛집 답게 너무 맛있었고, 동네 카페 같은 분위기가 너무 좋았다",2020년 11월 2일,5
2,쁠로13,haha,크로와상 무게로 가격측정되네요 엄청 촉촉한데 바삭하고 맛있어요,5월 5일,5
3,쁠로13,아르,"주차가 애매해서 아쉽지만 빵이 정말 맛있다. 저녁 정보 프로그램에서 크러핀이 유명하대서 그걸 사먹으러 간거였는데, 개인적으로는 일반 빵류가 제일 맛있었다. 점심으로 치아바타 샌드위치를 사먹었는데 치아바타가 정말... 정말 맛있었다. 플레인 치아바타는 따로 판매 안하신다 해서 아쉬울 정도. 조만간 다른 빵들도 사먹어보러 재방문할 예정.",2020년 8월 8일,5
4,쁠로13,김재헌,프랑스 밀가루를 사용해서 그런지 한국빵과는 차이가 큽니다. 빵에 대한 맛부터 다릅니다. 크로와상 빵들이 다 맛있고 다양하네요,2020년 8월 31일,5
5,쁠로13,이지헌,"정말 뒤끝이 깔끔한빵이에요!! 좋은재료사용에 비해 가격이 정말 착한편인갓 같아요 그중에 케이크는 정말 제가 살면서 먹은 케잌중에 탑쓰리안에 들어요!!!! 슈퍼슈퍼 그레잇 너무 좋다고만 계속 칭찬하다보니 홍보하는것 같지만 ㅎㅎ 저는 동네 단골입니닿ㅎㅎ
항상 맛있는 빵 감사합니다💕",2017년 11월 14일,5
