,이름,아이디,리뷰,날짜,별점
0,메종드라 카테고리,부여여,빙수 비쥬얼이 너무 예뻐요. 너무 달지도 않고 복숭아랑 얼음이랑 잘 어울리네요. 얼음은 약간 우유빙수? 같은 느낌,2020년 9월 27일,4
1,메종드라 카테고리,지아,"역시 서비스는 정말 좋았어요. 위치+인테리어를 생각하면 가격도 이해가능한 합리적인 편입니다. 여기서는 디저트 주로 드시는데, 여기 파스타가 의외로 정말 맛있어요",2020년 12월 30일,5
2,메종드라 카테고리,멜리,"여름에 복숭아 빙수 먹으러 항상 가는 곳
복숭아가 하나 통째로 올려져 나와요
라즈베리 시럽 뿌려먹거나 복숭아를 먼저 먹고 얼음에 시럽을 뿌려 먹으면 되는데 비쥬얼 만큼 맛도 맛있습니닷 크렘브륄레도 추천이요",2020년 8월 25일,4
3,메종드라 카테고리,이다오니,가격이 조금 비싸긴한데 분위기가 정말 좋습니다 기념일에 꼭가뷰세오!,2020년 2월 2일,5
4,메종드라 카테고리,맛쟁이,디저트류가 맛있어요! 케이크 쪽은 다 👍🏻👍🏻 음식도 맛잇고 조아요 프랑스 요리가 친근핟 다가와요,2019년 6월 7일,5
5,메종드라 카테고리,룰룰,커피랑 케이크 맛있어요. 위치가 위치인지라 가격대는 좀 비싸지만 만족합니다~,2020년 5월 29일,4
6,메종드라 카테고리,김지연,프렌치 레스토랑. 디저트도 다양한데 특히 여름에 복숭아 빙수 강추!,2018년 9월 9일,3
