,이름,아이디,리뷰,날짜,별점
0,브라이언스커피,picky picky,"원두가 참 맛있는 카페! 아메리카노도 좋지만, 카페라떼나 플랫화이트가 정말 맛있다! 이곳 원두가 산미가 강해서 그런지 우유와의 조화가 부드럽다... 거기에 스콘을 곁들이면 금상첨화다! 주차여건이 안좋은게 흠이라면 흠!
ps. 커피만드는 연습은 대기 손님 없을때 해주세요",2019년 10월 6일,5
1,브라이언스커피,피그,"스콘맛집
커피를 직접 블랜딩 해서 맛있지만
기본 커피 말구 다른 바닐라라테같은건 비추천",2020년 7월 4일,5
2,브라이언스커피,요리보고 조리봐도,"도곡동 카페거리에 있는 명소, 맞은편 브라운핸즈가 있네요. 커피가격 상당히 비싼데 양도 적어요. 특이한 점은 와이파이도 콘센트도 없어요. 디지털 환경에서 잠시 벗어나자는 컨셉이더라구요.",4월 4일,4
3,브라이언스커피,jess,"스콘이 맛있다고해서 방문했습니다. 버터스콘을 비롯해서 스콘 3종과 크로와상을 구매했는데 스콘은 이틀정도 지나서 먹어도 맛있었고, 크로와상도 정말 맛있게 먹었습니다.
가격은 비싼편이지만 베이커리류 맛있었고, 롱블랙 가격대비 양이 넘 적더라구요. 커피도 나쁘지 않은 편이지만 담에 방문한다면 스콘을 비롯한 빵만 테이크아웃할 것 같습니다.",4월 19일,4
4,브라이언스커피,맛쟁이,분위기 넘 좋은 매장! 2층이 훨 좋네요! 스콘이 유명한데 크로와상이 더 맛잇어요 제입엔,2020년 4월 21일,3
5,브라이언스커피,홍냥,여기 진짜 최고에요. 다음날 또 갔어요. 음료는 잘 모르겠는데 스콘덕후로써 너무 마음에 들었네요. 바질스콘 라즈베리잼스콘 생크림스콘 캬라멜스콘 네 가지 먹어봤는데 하나도 빠짐없이 다 좋았어요 ㅠㅠ 조만간 다른 종류 스콘들도 먹으러 가야겠어요.,2019년 11월 15일,5
6,브라이언스커피,custardcream,"스콘맛집이에요
촉촉한 스콘?종류도 굉장히 많았어요
커피는 약간 산미가 있었어요
가게는 2층으로 되어있어서 넓어서 좋았음",2020년 4월 6일,4
7,브라이언스커피,소풍,-플랫화이트; 쇼셜브랜딩-아주 프래쉬하고 부드럽고 고소하며 풍부한 바디감 좋다,2017년 4월 3일,5
