,이름,아이디,리뷰,날짜,별점
0,컬렉션라운지,Kim Seb,오후까지는 일반 카페.. 그러나 저녁부터는 칵테일 라운지바로 바뀌는 듯!! 분위기도 엔틱하고 클래식한데.. 커피맛은 잘 모르겠음..,2018년 5월 13일,3
1,컬렉션라운지,maem_2ee,"칵테일 있다고 해서 갔는데 그냥 카페에 가깝네요. 알콜은 병맥주 호가든, 하이네켄, 밀러 있었고 8,000원 이었어요. 와인은 병 와인 작은건데 18,000원 이였어요. 분위기는 좋았는데 칵테일을 제가 못 찾은건지... 아무튼 없어서 아쉬웠어요.",2018년 11월 15일,3
2,컬렉션라운지,rrlrrl,다양한 칵테일이 있어서 메뉴고르기 좋았고 논알콜도 있어서 술을 못하는 사람과도 갈 수 있다는 점이 괜찮았음. 안주메뉴도 나쁘지 않은 편.,2017년 7월 22일,4
3,컬렉션라운지,쭈하,갈때마다 칵테일이나 안주 다맛잇엇어요 서비스도 자주 주신듯,2020년 9월 28일,4
4,컬렉션라운지,모과모,,2017년 1월 3일,5
